code;name;sector;date;open;close;port_shares;total_shares;benchmark
600007.SH;ZhongGuoGuoMao;Estate;2014-01-29;10;9.98;10000;1007282534;
600007.SH;ZhongGuoGuoMao;Estate;2014-01-30;9.99;9.94;10000;1007282534;
0;Cash;Cash;2014-01-02;1;1;50000;0;
0;Cash;Cash;2014-01-03;1;1;60000;0;
0;Cash;Cash;2014-01-06;1;1;70000;0;
0;Cash;Cash;2014-01-07;1;1;50000;0;
0;Cash;Cash;2014-01-08;1;1;49000;0;
0;Cash;Cash;2014-01-09;1;1;50000;0;
0;Cash;Cash;2014-01-10;1;1;50000;0;
0;Cash;Cash;2014-01-13;1;1;50000;0;
0;Cash;Cash;2014-01-14;1;1;50000;0;
0;Cash;Cash;2014-01-15;1;1;50000;0;
0;Cash;Cash;2014-01-16;1;1;50000;0;
0;Cash;Cash;2014-01-17;1;1;50000;0;
0;Cash;Cash;2014-01-20;1;1;50000;0;
0;Cash;Cash;2014-01-21;1;1;45000;0;
0;Cash;Cash;2014-01-22;1;1;42000;0;
0;Cash;Cash;2014-01-23;1;1;20000;0;
0;Cash;Cash;2014-01-24;1;1;23000;0;
0;Cash;Cash;2014-01-27;1;1;30000;0;
0;Cash;Cash;2014-01-28;1;1;25000;0;
0;Cash;Cash;2014-01-29;1;1;20000;0;
0;Cash;Cash;2014-01-30;1;1;5000;0;
